T,Z
2021-09-15T00:28:00Z,1956822
2021-09-15T00:28:10Z,1957319
2021-09-15T00:28:20Z,1957682
2021-09-15T00:28:30Z,1957563
2021-09-15T00:28:40Z,1957919
2021-09-15T00:28:50Z,1958153
2021-09-15T00:29:00Z,1958248
2021-09-15T00:29:10Z,1958794
2021-09-15T00:29:20Z,1958977
2021-09-15T00:29:30Z,1958795
2021-09-15T00:29:40Z,1958953
2021-09-15T00:29:50Z,1959423
2021-09-15T00:30:00Z,1959891
2021-09-15T00:30:10Z,1960231
2021-09-15T00:30:20Z,1960368
2021-09-15T00:30:30Z,1960413
2021-09-15T00:30:40Z,1960685
2021-09-15T00:30:50Z,1960854
2021-09-15T00:31:00Z,1961095
2021-09-15T00:31:10Z,1961597
2021-09-15T00:31:20Z,1961800
2021-09-15T00:31:30Z,1961869
2021-09-15T00:31:40Z,1962159
2021-09-15T00:31:50Z,1962524
2021-09-15T00:32:00Z,1962707
2021-09-15T00:32:10Z,1963100
2021-09-15T00:32:20Z,1963667
2021-09-15T00:32:30Z,1963781
2021-09-15T00:32:40Z,1963719
2021-09-15T00:32:50Z,1964029
2021-09-15T00:33:00Z,1964519
2021-09-15T00:33:10Z,1964565
2021-09-15T00:33:20Z,1964870
2021-09-15T00:33:30Z,1965452
2021-09-15T00:33:40Z,1965233
2021-09-15T00:33:50Z,1965395
2021-09-15T00:34:00Z,1965986
2021-09-15T00:34:10Z,1965777
2021-09-15T00:34:20Z,1965851
2021-09-15T00:34:30Z,1966435
2021-09-15T00:34:40Z,1966620
2021-09-15T00:34:50Z,1967075
2021-09-15T00:35:00Z,1967866
2021-09-15T00:35:10Z,1967780
2021-09-15T00:35:20Z,1967574
2021-09-15T00:35:30Z,1968254
2021-09-15T00:35:40Z,1968540
2021-09-15T00:35:50Z,1968480
2021-09-15T00:36:00Z,1968919
2021-09-15T00:36:10Z,1969042
2021-09-15T00:36:20Z,1969065
2021-09-15T00:36:30Z,1969512
2021-09-15T00:36:40Z,1969514
2021-09-15T00:36:50Z,1969432
2021-09-15T00:37:00Z,1970088
2021-09-15T00:37:10Z,1970421
2021-09-15T00:37:20Z,1970675
2021-09-15T00:37:30Z,1971412
2021-09-15T00:37:40Z,1971265
2021-09-15T00:37:50Z,1971288
2021-09-15T00:38:00Z,1972053
2021-09-15T00:38:10Z,1971913
2021-09-15T00:38:20Z,1971947
2021-09-15T00:38:30Z,1972661
2021-09-15T00:38:40Z,1972871
2021-09-15T00:38:50Z,1972914
2021-09-15T00:39:00Z,1972990
2021-09-15T00:39:10Z,1973229
2021-09-15T00:39:20Z,1973759
2021-09-15T00:39:30Z,1973892
2021-09-15T00:39:40Z,1974154
2021-09-15T00:39:50Z,1974717
2021-09-15T00:40:00Z,1974782
2021-09-15T00:40:10Z,1974836
2021-09-15T00:40:20Z,1974772
2021-09-15T00:40:30Z,1974724
2021-09-15T00:40:40Z,1975373
2021-09-15T00:40:50Z,1976150
2021-09-15T00:41:00Z,1976259
2021-09-15T00:41:10Z,1975970
2021-09-15T00:41:20Z,1976408
2021-09-15T00:41:30Z,1976774
2021-09-15T00:41:40Z,1976667
2021-09-15T00:41:50Z,1977005
2021-09-15T00:42:00Z,1977230
2021-09-15T00:42:10Z,1977471
2021-09-15T00:42:20Z,1978143
2021-09-15T00:42:30Z,1978431
2021-09-15T00:42:40Z,1978172
2021-09-15T00:42:50Z,1978700
2021-09-15T00:43:00Z,1979122
2021-09-15T00:43:10Z,1978687
2021-09-15T00:43:20Z,1979436
2021-09-15T00:43:30Z,1979840
2021-09-15T00:43:40Z,1979331
2021-09-15T00:43:50Z,1980068
2021-09-15T00:44:00Z,1980734
2021-09-15T00:44:10Z,1980679
2021-09-15T00:44:20Z,1980992
2021-09-15T00:44:30Z,1981839
2021-09-15T00:44:40Z,1982178
2021-09-15T00:44:50Z,1981744
2021-09-15T00:45:00Z,1982045
2021-09-15T00:45:10Z,1982755
2021-09-15T00:45:20Z,1982883
2021-09-15T00:45:30Z,1982758
2021-09-15T00:45:40Z,1983039
2021-09-15T00:45:50Z,1983478
2021-09-15T00:46:00Z,1983384
2021-09-15T00:46:10Z,1983473
2021-09-15T00:46:20Z,1983952
2021-09-15T00:46:30Z,1984327
2021-09-15T00:46:40Z,1984438
2021-09-15T00:46:50Z,1984641
2021-09-15T00:47:00Z,1985275
2021-09-15T00:47:10Z,1985626
2021-09-15T00:47:20Z,1985735
2021-09-15T00:47:30Z,1985901
2021-09-15T00:47:40Z,1986015
2021-09-15T00:47:50Z,1986438
2021-09-15T00:48:00Z,1986947
2021-09-15T00:48:10Z,1986834
2021-09-15T00:48:20Z,1986980
2021-09-15T00:48:30Z,1987567
2021-09-15T00:48:40Z,1987452
2021-09-15T00:48:50Z,1987861
2021-09-15T00:49:00Z,1988222
2021-09-15T00:49:10Z,1988183
2021-09-15T00:49:20Z,1989256
2021-09-15T00:49:30Z,1989356
2021-09-15T00:49:40Z,1988852
2021-09-15T00:49:50Z,1989150
2021-09-15T00:50:00Z,1989342
2021-09-15T00:50:10Z,1990357
2021-09-15T00:50:20Z,1990977
2021-09-15T00:50:30Z,1990094
2021-09-15T00:50:40Z,1990251
2021-09-15T00:50:50Z,1991306
2021-09-15T00:51:00Z,1991520
2021-09-15T00:51:10Z,1991658
2021-09-15T00:51:20Z,1991598
2021-09-15T00:51:30Z,1991766
2021-09-15T00:51:40Z,1993153
2021-09-15T00:51:50Z,1992935
2021-09-15T00:52:00Z,1991785
2021-09-15T00:52:10Z,1993354
2021-09-15T00:52:20Z,1994343
2021-09-15T00:52:30Z,1993119
2021-09-15T00:52:40Z,1993743
2021-09-15T00:52:50Z,1995168
2021-09-15T00:53:00Z,1994956
2021-09-15T00:53:10Z,1994741
2021-09-15T00:53:20Z,1995038
2021-09-15T00:53:30Z,1995198
2021-09-15T00:53:40Z,1995340
2021-09-15T00:53:50Z,1995653
2021-09-15T00:54:00Z,1995917
2021-09-15T00:54:10Z,1996157
2021-09-15T00:54:20Z,1996477
2021-09-15T00:54:30Z,1996783
2021-09-15T00:54:40Z,1997567
2021-09-15T00:54:50Z,1997901
2021-09-15T00:55:00Z,1997405
2021-09-15T00:55:10Z,1997948
2021-09-15T00:55:20Z,1998486
2021-09-15T00:55:30Z,1998032
2021-09-15T00:55:40Z,1998648
2021-09-15T00:55:50Z,1999248
2021-09-15T00:56:00Z,1998871
2021-09-15T00:56:10Z,1999311
2021-09-15T00:56:20Z,1999703
2021-09-15T00:56:30Z,1999974
2021-09-15T00:56:40Z,2000972
2021-09-15T00:56:50Z,2000775
2021-09-15T00:57:00Z,2000479
2021-09-15T00:57:10Z,2001877
2021-09-15T00:57:20Z,2002168
2021-09-15T00:57:30Z,2001656
2021-09-15T00:57:40Z,2001951
2021-09-15T00:57:50Z,2001879
2021-09-15T00:58:00Z,2002542
2021-09-15T00:58:10Z,2002915
2021-09-15T00:58:20Z,2002659
2021-09-15T00:58:30Z,2003772
2021-09-15T00:58:40Z,2003824
2021-09-15T00:58:50Z,2003941
2021-09-15T00:59:00Z,2004993
2021-09-15T00:59:10Z,2004188
2021-09-15T00:59:20Z,2004704
2021-09-15T00:59:30Z,2005887
2021-09-15T00:59:40Z,2004943
2021-09-15T00:59:50Z,2005112
2021-09-15T01:00:00Z,2005701
2021-09-15T01:00:10Z,2005684
2021-09-15T01:00:20Z,2006532
2021-09-15T01:00:30Z,2006975
2021-09-15T01:00:40Z,2006753
2021-09-15T01:00:50Z,2006917
2021-09-15T01:01:00Z,2007439
2021-09-15T01:01:10Z,2007991
2021-09-15T01:01:20Z,2008370
2021-09-15T01:01:30Z,2008188
2021-09-15T01:01:40Z,2008239
2021-09-15T01:01:50Z,2008975
2021-09-15T01:02:00Z,2009332
2021-09-15T01:02:10Z,2009652
2021-09-15T01:02:20Z,2009860
2021-09-15T01:02:30Z,2009846
2021-09-15T01:02:40Z,2010255
2021-09-15T01:02:50Z,2010526
2021-09-15T01:03:00Z,2010576
2021-09-15T01:03:10Z,2010778
2021-09-15T01:03:20Z,2011250
2021-09-15T01:03:30Z,2011635
2021-09-15T01:03:40Z,2011619
2021-09-15T01:03:50Z,2011741
2021-09-15T01:04:00Z,2012159
2021-09-15T01:04:10Z,2012424
2021-09-15T01:04:20Z,2012575
2021-09-15T01:04:30Z,2012932
2021-09-15T01:04:40Z,2013203
2021-09-15T01:04:50Z,2013424
2021-09-15T01:05:00Z,2014042
2021-09-15T01:05:10Z,2014788
2021-09-15T01:05:20Z,2014919
2021-09-15T01:05:30Z,2014796
2021-09-15T01:05:40Z,2015245
2021-09-15T01:05:50Z,2015303
2021-09-15T01:06:00Z,2015238
2021-09-15T01:06:10Z,2015922
2021-09-15T01:06:20Z,2016037
2021-09-15T01:06:30Z,2016387
2021-09-15T01:06:40Z,2017173
2021-09-15T01:06:50Z,2017024
2021-09-15T01:07:00Z,2017406
2021-09-15T01:07:10Z,2017865
2021-09-15T01:07:20Z,2017604
2021-09-15T01:07:30Z,2018143
2021-09-15T01:07:40Z,2018589
2021-09-15T01:07:50Z,2018382
2021-09-15T01:08:00Z,2018766
2021-09-15T01:08:10Z,2019093
2021-09-15T01:08:20Z,2019239
2021-09-15T01:08:30Z,2020017
2021-09-15T01:08:40Z,2020234
2021-09-15T01:08:50Z,2020609
2021-09-15T01:09:00Z,2021573
2021-09-15T01:09:10Z,2021128
2021-09-15T01:09:20Z,2021139
2021-09-15T01:09:30Z,2021914
2021-09-15T01:09:40Z,2021462
2021-09-15T01:09:50Z,2021864
2021-09-15T01:10:00Z,2022892
2021-09-15T01:10:10Z,2022671
2021-09-15T01:10:20Z,2022787
2021-09-15T01:10:30Z,2023402
2021-09-15T01:10:40Z,2023512
2021-09-15T01:10:50Z,2023885
2021-09-15T01:11:00Z,2024309
2021-09-15T01:11:10Z,2024487
2021-09-15T01:11:20Z,2025056
2021-09-15T01:11:30Z,2025183
2021-09-15T01:11:40Z,2025136
2021-09-15T01:11:50Z,2025801
2021-09-15T01:12:00Z,2025822
2021-09-15T01:12:10Z,2025916
2021-09-15T01:12:20Z,2026642
2021-09-15T01:12:30Z,2026702
2021-09-15T01:12:40Z,2026878
2021-09-15T01:12:50Z,2027020
2021-09-15T01:13:00Z,2027380
2021-09-15T01:13:10Z,2028296
2021-09-15T01:13:20Z,2028226
2021-09-15T01:13:30Z,2028359
2021-09-15T01:13:40Z,2028927
2021-09-15T01:13:50Z,2028993
2021-09-15T01:14:00Z,2029652
2021-09-15T01:14:10Z,2029827
2021-09-15T01:14:20Z,2029544
2021-09-15T01:14:30Z,2030165
2021-09-15T01:14:40Z,2030332
2021-09-15T01:14:50Z,2030514
2021-09-15T01:15:00Z,2031188
2021-09-15T01:15:10Z,2031243
2021-09-15T01:15:20Z,2031621
2021-09-15T01:15:30Z,2032169
2021-09-15T01:15:40Z,2032264
2021-09-15T01:15:50Z,2032449
2021-09-15T01:16:00Z,2032452
2021-09-15T01:16:10Z,2032639
2021-09-15T01:16:20Z,2033200
2021-09-15T01:16:30Z,2033347
2021-09-15T01:16:40Z,2033511
2021-09-15T01:16:50Z,2034174
2021-09-15T01:17:00Z,2034545
